tas	"	Year"	 Month	 Country	 ISO3	 ISO2
21.0029	1920	1	ETH		
21.7294	1920	2	ETH		
23.0842	1920	3	ETH		
23.5977	1920	4	ETH		
23.3872	1920	5	ETH		
23.3933	1920	6	ETH		
22.4778	1920	7	ETH		
21.8415	1920	8	ETH		
22.3866	1920	9	ETH		
22.067	1920	10	ETH		
21.2147	1920	11	ETH		
20.6709	1920	12	ETH		
20.906	1921	1	ETH		
21.824	1921	2	ETH		
22.84	1921	3	ETH		
24.1739	1921	4	ETH		
23.5358	1921	5	ETH		
23.3867	1921	6	ETH		
22.5035	1921	7	ETH		
21.9595	1921	8	ETH		
22.7258	1921	9	ETH		
22.2689	1921	10	ETH		
21.5536	1921	11	ETH		
21.4406	1921	12	ETH		
21.501	1922	1	ETH		
22.501	1922	2	ETH		
23.459	1922	3	ETH		
23.8849	1922	4	ETH		
23.6563	1922	5	ETH		
23.7857	1922	6	ETH		
22.3494	1922	7	ETH		
22.0996	1922	8	ETH		
22.5616	1922	9	ETH		
22.2501	1922	10	ETH		
21.81	1922	11	ETH		
21.084	1922	12	ETH		
21.8692	1923	1	ETH		
21.9849	1923	2	ETH		
23.5508	1923	3	ETH		
23.5164	1923	4	ETH		
23.4055	1923	5	ETH		
23.3084	1923	6	ETH		
22.2502	1923	7	ETH		
21.8259	1923	8	ETH		
22.504	1923	9	ETH		
21.9242	1923	10	ETH		
21.0912	1923	11	ETH		
20.8461	1923	12	ETH		
21.4952	1924	1	ETH		
22.761	1924	2	ETH		
23.9205	1924	3	ETH		
23.9611	1924	4	ETH		
23.6731	1924	5	ETH		
23.6181	1924	6	ETH		
22.7138	1924	7	ETH		
22.4646	1924	8	ETH		
22.7341	1924	9	ETH		
22.4815	1924	10	ETH		
21.576	1924	11	ETH		
21.2118	1924	12	ETH		
20.661	1925	1	ETH		
21.7876	1925	2	ETH		
23.5977	1925	3	ETH		
23.7811	1925	4	ETH		
23.6613	1925	5	ETH		
23.5032	1925	6	ETH		
22.8737	1925	7	ETH		
22.5361	1925	8	ETH		
23.0236	1925	9	ETH		
22.2427	1925	10	ETH		
21.4472	1925	11	ETH		
21.0049	1925	12	ETH		
20.9881	1926	1	ETH		
22.2541	1926	2	ETH		
23.081	1926	3	ETH		
23.3803	1926	4	ETH		
23.8987	1926	5	ETH		
23.7484	1926	6	ETH		
22.759	1926	7	ETH		
22.8324	1926	8	ETH		
23.1142	1926	9	ETH		
22.2344	1926	10	ETH		
21.2082	1926	11	ETH		
20.7089	1926	12	ETH		
21.6169	1927	1	ETH		
22.1759	1927	2	ETH		
23.4579	1927	3	ETH		
23.1903	1927	4	ETH		
23.5064	1927	5	ETH		
23.3665	1927	6	ETH		
22.5895	1927	7	ETH		
22.5672	1927	8	ETH		
22.8446	1927	9	ETH		
22.6884	1927	10	ETH		
21.7656	1927	11	ETH		
21.5384	1927	12	ETH		
21.8198	1928	1	ETH		
22.5345	1928	2	ETH		
24.0218	1928	3	ETH		
24.1055	1928	4	ETH		
23.8091	1928	5	ETH		
23.5552	1928	6	ETH		
22.8089	1928	7	ETH		
22.3409	1928	8	ETH		
23.0361	1928	9	ETH		
22.48	1928	10	ETH		
21.6075	1928	11	ETH		
21.0899	1928	12	ETH		
21.456	1929	1	ETH		
22.9434	1929	2	ETH		
23.6991	1929	3	ETH		
24.0815	1929	4	ETH		
23.6085	1929	5	ETH		
23.2781	1929	6	ETH		
22.0127	1929	7	ETH		
22.0217	1929	8	ETH		
22.5541	1929	9	ETH		
22.1342	1929	10	ETH		
21.3507	1929	11	ETH		
20.4839	1929	12	ETH		
20.8004	1930	1	ETH		
22.483	1930	2	ETH		
23.1361	1930	3	ETH		
23.6088	1930	4	ETH		
23.4331	1930	5	ETH		
22.9392	1930	6	ETH		
22.1851	1930	7	ETH		
22.0311	1930	8	ETH		
22.6435	1930	9	ETH		
22.0832	1930	10	ETH		
20.9347	1930	11	ETH		
20.9278	1930	12	ETH		
21.1476	1931	1	ETH		
22.6623	1931	2	ETH		
23.4047	1931	3	ETH		
23.6861	1931	4	ETH		
23.737	1931	5	ETH		
23.586	1931	6	ETH		
22.5435	1931	7	ETH		
22.2909	1931	8	ETH		
22.6468	1931	9	ETH		
22.3641	1931	10	ETH		
21.475	1931	11	ETH		
20.9686	1931	12	ETH		
21.3234	1932	1	ETH		
22.6049	1932	2	ETH		
23.5174	1932	3	ETH		
23.8924	1932	4	ETH		
23.4316	1932	5	ETH		
23.3937	1932	6	ETH		
22.275	1932	7	ETH		
22.0285	1932	8	ETH		
22.5293	1932	9	ETH		
22.2705	1932	10	ETH		
21.4275	1932	11	ETH		
20.8203	1932	12	ETH		
21.5926	1933	1	ETH		
22.836	1933	2	ETH		
23.7719	1933	3	ETH		
23.7181	1933	4	ETH		
23.7993	1933	5	ETH		
23.4711	1933	6	ETH		
22.547	1933	7	ETH		
22.2296	1933	8	ETH		
22.698	1933	9	ETH		
22.4096	1933	10	ETH		
21.8449	1933	11	ETH		
21.1743	1933	12	ETH		
