pr	"	Year"	 Month	 Country	 ISO3	 ISO2
20.724	2008	10	ZAF		
69.7743	2008	11	ZAF		
53.838	2008	12	ZAF		
79.1137	2009	1	ZAF		
90.6474	2009	2	ZAF		
30.7291	2009	3	ZAF		
17.3645	2009	4	ZAF		
15.1556	2009	5	ZAF		
26.6185	2009	6	ZAF		
12.526	2009	7	ZAF		
12.8889	2009	8	ZAF		
18.8758	2009	9	ZAF		
52.208	2009	10	ZAF		
75.1121	2009	11	ZAF		
51.5783	2009	12	ZAF		
102.581	2010	1	ZAF		
65.1871	2010	2	ZAF		
42.9904	2010	3	ZAF		
32.9119	2010	4	ZAF		
17.6176	2010	5	ZAF		
10.888	2010	6	ZAF		
8.44029	2010	7	ZAF		
5.25173	2010	8	ZAF		
5.41944	2010	9	ZAF		
34.7314	2010	10	ZAF		
56.3986	2010	11	ZAF		
83.9725	2010	12	ZAF		
105.974	2011	1	ZAF		
72.2788	2011	2	ZAF		
66.3148	2011	3	ZAF		
60.2157	2011	4	ZAF		
38.9432	2011	5	ZAF		
32.5319	2011	6	ZAF		
16.5844	2011	7	ZAF		
16.1018	2011	8	ZAF		
5.87221	2011	9	ZAF		
26.2993	2011	10	ZAF		
52.2812	2011	11	ZAF		
58.8665	2011	12	ZAF		
45.0159	2012	1	ZAF		
64.0444	2012	2	ZAF		
55.6964	2012	3	ZAF		
23.4256	2012	4	ZAF		
3.4776	2012	5	ZAF		
23.4023	2012	6	ZAF		
18.7266	2012	7	ZAF		
10.8775	2012	8	ZAF		
32.0427	2012	9	ZAF		
75.1647	2012	10	ZAF		
29.2712	2012	11	ZAF		
83.3777	2012	12	ZAF		
62.6002	2013	1	ZAF		
35.4779	2013	2	ZAF		
55.7642	2013	3	ZAF		
33.6637	2013	4	ZAF		
7.7039	2013	5	ZAF		
11.1953	2013	6	ZAF		
9.62866	2013	7	ZAF		
13.8296	2013	8	ZAF		
6.50278	2013	9	ZAF		
36.465	2013	10	ZAF		
52.758	2013	11	ZAF		
95.0426	2013	12	ZAF		
54.9551	2014	1	ZAF		
106.486	2014	2	ZAF		
58.2508	2014	3	ZAF		
34.294	2014	4	ZAF		
14.5883	2014	5	ZAF		
8.88728	2014	6	ZAF		
8.01769	2014	7	ZAF		
15.7856	2014	8	ZAF		
11.6591	2014	9	ZAF		
15.5017	2014	10	ZAF		
68.9355	2014	11	ZAF		
84.1863	2014	12	ZAF		
37.478	2015	1	ZAF		
35.6441	2015	2	ZAF		
57.5323	2015	3	ZAF		
34.3128	2015	4	ZAF		
5.41119	2015	5	ZAF		
27.36	2015	6	ZAF		
19.9437	2015	7	ZAF		
19.6669	2015	8	ZAF		
23.2621	2015	9	ZAF		
22.8417	2015	10	ZAF		
35.8368	2015	11	ZAF		
19.5182	2015	12	ZAF		
